,Unnamed: 0,PLAYER NAME,TEAM,POS,BYE WEEK,POINTS,POSITIONAL TIER
170,170,Xavier Legette,CAR,WR,14,116.0,6
171,171,Philadelphia Eagles,PHI,DST,9,114.1,3
172,172,Tre Harris,LAC,WR,12,104.7,7
173,173,DeMario Douglas,NE,WR,14,144.5,5
174,174,Pittsburgh Steelers,PIT,DST,5,120.2,1
175,175,Baltimore Ravens,BAL,DST,7,104.4,10
176,176,MarShawn Lloyd,GB,RB,5,95.5,6
177,177,Jalen Coker,CAR,WR,14,63.4,8
178,178,Mike Gesicki,CIN,TE,10,128.4,4
179,179,Minnesota Vikings,MIN,DST,6,112.2,4
180,180,Joshua Palmer,BUF,WR,7,127.4,6
181,181,Anthony Richardson,IND,QB,11,247.0,3
182,182,Cade Otton,TB,TE,9,129.1,4
183,183,Kansas City Chiefs,KC,DST,10,106.5,8
184,184,Isaiah Likely,BAL,TE,7,126.5,4
185,185,Buffalo Bills,BUF,DST,7,119.5,1
186,186,Houston Texans,HOU,DST,6,111.5,4
187,187,Jack Bech,LV,WR,8,149.3,5
188,188,Michael Wilson,ARI,WR,8,139.3,6
189,189,Jake Bates,DET,K,8,155.5,1
190,190,Brandon Aubrey,DAL,K,10,151.8,2
191,191,Los Angeles Chargers,LAC,DST,12,104.5,10
192,192,Alec Pierce,IND,WR,11,99.9,7
193,193,Detroit Lions,DET,DST,8,117.6,2
194,194,New York Jets,NYJ,DST,9,108.9,6
195,195,Cameron Dicker,LAC,K,12,150.1,3
196,196,Dalton Schultz,HOU,TE,6,123.4,4
197,197,Brenton Strange,JAC,TE,8,133.8,4
198,198,Seattle Seahawks,SEA,DST,8,110.1,5
199,199,Wil Lutz,DEN,K,12,141.3,6
200,200,Dontayvion Wicks,GB,WR,5,73.6,8
201,201,Chris Boswell,PIT,K,5,150.2,3
202,202,Los Angeles Rams,LAR,DST,8,111.6,4
203,203,Justice Hill,BAL,RB,7,116.5,6
204,204,Devin Neal,NO,RB,11,14.9,10
205,205,Adonai Mitchell,IND,WR,11,74.2,8
206,206,Kareem Hunt,KC,RB,10,76.6,7
207,207,Andrei Iosivas,CIN,WR,10,113.5,6
208,208,Aaron Rodgers,PIT,QB,5,229.0,3
209,209,Audric Estime,DEN,RB,12,25.5,9
210,211,Chase McLaughlin,TB,K,9,150.2,3
211,212,Green Bay Packers,GB,DST,5,111.9,4
212,213,Nick Chubb,HOU,RB,6,72.4,7
213,214,Ka'imi Fairbairn,HOU,K,6,144.4,5
214,215,Mason Taylor,NYJ,TE,9,110.1,5
215,216,Evan McPherson,CIN,K,10,150.2,3
216,217,Cole Kmet,CHI,TE,5,43.2,7
217,218,Dylan Sampson,CLE,RB,9,101.0,6
218,219,Kendre Miller,NO,RB,11,125.9,6
219,220,Russell Wilson,NYG,QB,14,158.0,4
220,221,Harrison Butker,KC,K,10,148.7,4
221,222,Darius Slayton,NYG,WR,14,125.9,6
222,223,Devaughn Vele,DEN,WR,12,88.6,7
223,224,Tyler Bass,BUF,K,7,151.1,2
224,225,Jake Elliott,PHI,K,9,152.7,2
225,226,Jason Sanders,MIA,K,12,147.6,4
226,227,DJ Giddens,IND,RB,11,46.4,8
227,228,Jaylin Noel,HOU,WR,6,40.0,9
228,229,Ja'Tavion Sanders,CAR,TE,14,109.8,5
229,230,Elic Ayomanor,TEN,WR,10,31.7,9
230,231,Diontae Johnson,CLE,WR,9,127.6,6
231,232,Tyler Lockett,TEN,WR,10,135.0,6
232,233,Jalen Tolbert,DAL,WR,10,114.5,6
233,234,Antonio Gibson,NE,RB,14,25.1,9
234,235,Brandin Cooks,NO,WR,11,110.3,6
235,236,Kayshon Boutte,NE,WR,14,17.5,10
236,237,Calvin Austin,PIT,WR,5,164.2,5
237,238,Younghoe Koo,ATL,K,5,142.4,6
238,240,Dallas Cowboys,DAL,DST,10,114.4,3
239,241,Juwan Johnson,NO,TE,11,112.7,5
240,242,Tampa Bay Buccaneers,TB,DST,9,110.2,5
241,243,Elijah Mitchell,KC,RB,10,67.2,7
242,244,Devin Singletary,NYG,RB,14,58.1,8
243,245,Miles Sanders,DAL,RB,10,66.3,7
244,246,Kenneth Gainwell,PIT,RB,5,28.4,9
245,247,Elijah Arroyo,SEA,TE,8,84.5,6
246,248,Keaton Mitchell,BAL,RB,7,47.0,8
247,249,Jalen Royals,KC,WR,10,64.3,8
248,250,Cleveland Browns,CLE,DST,9,117.0,2
249,251,Raheem Mostert,LV,RB,8,73.6,7
250,252,Kyle Monangai,CHI,RB,5,17.5,9
251,254,Mike Williams,LAC,WR,12,89.7,7
252,255,Joshua Karty,LAR,K,8,145.9,5
253,256,Nick Westbrook-Ikhine,MIA,WR,12,94.2,7
254,257,Roman Wilson,PIT,WR,5,113.0,6
255,258,Trevor Etienne,CAR,RB,14,43.8,8
256,259,Malik Washington,MIA,WR,12,63.1,8
257,260,Noah Gray,KC,TE,10,84.2,6
258,261,Harold Fannin,CLE,TE,9,46.2,7
259,262,Noah Fant,SEA,TE,8,101.1,5
260,263,Will Shipley,PHI,RB,9,33.1,9
261,264,Matt Gay,WAS,K,12,147.7,4
262,265,Ty Johnson,BUF,RB,7,64.8,7
263,266,Zack Moss,CIN,RB,10,68.5,7
264,267,Daniel Jones,IND,QB,11,69.1,5
265,268,Khalil Herbert,IND,RB,11,12.7,10
266,269,Tim Patrick,DET,WR,8,83.2,7
267,270,Pat Bryant,DEN,WR,12,78.1,8
268,271,Kimani Vidal,LAC,RB,12,18.7,9
269,272,Dyami Brown,JAC,WR,8,91.0,7
270,273,Jarquez Hunter,LAR,RB,8,37.8,8
271,274,Sincere McCormick,LV,RB,8,25.9,9
272,275,Tahj Brooks,CIN,RB,10,2.1,10
273,276,Tyler Shough,NO,QB,11,158.0,4
274,277,Jaxson Dart,NYG,QB,14,51.0,5
275,280,Theo Johnson,NYG,TE,14,110.8,5
276,281,Parker Washington,JAC,WR,8,71.3,8
277,282,Sean Tucker,TB,RB,9,21.3,9
278,283,Jalen Nailor,MIN,WR,6,75.2,8
279,284,Tre Tucker,LV,WR,8,123.8,6
280,285,Woody Marks,HOU,RB,6,72.4,7
281,286,Alexander Mattison,MIA,RB,12,78.7,7
282,287,Brashard Smith,KC,RB,10,7.2,10
283,288,Isaiah Davis,NYJ,RB,9,56.6,8
284,289,Joe Flacco,CLE,QB,9,112.0,4
285,290,Chicago Bears,CHI,DST,5,107.3,8
286,291,Terrance Ferguson,LAR,TE,8,58.6,7
287,292,Will Dissly,LAC,TE,12,85.4,6
288,293,Luke McCaffrey,WAS,WR,12,28.2,10
289,294,Shedeur Sanders,CLE,QB,9,14.5,5
290,295,Jordan James,SF,RB,14,27.5,9
291,296,Daniel Carlson,LV,K,8,145.1,5
292,297,Miami Dolphins,MIA,DST,12,110.0,5
293,298,Damien Martinez,SEA,RB,8,7.1,10
294,299,Tory Horton,SEA,WR,8,39.6,9
295,300,Ty Chandler,MIN,RB,6,15.3,10
296,302,Jason Myers,SEA,K,8,146.6,4
297,303,Ben Sinnott,WAS,TE,12,49.2,7
298,304,Oronde Gadsden,LAC,TE,12,26.6,8
299,305,Tyler Higbee,LAR,TE,8,99.9,5
300,307,Emanuel Wilson,GB,RB,5,60.1,8
301,308,John Metchie,HOU,WR,6,37.7,9
302,309,Jermaine Burton,CIN,WR,10,52.6,9
303,310,Tyler Conklin,LAC,TE,12,106.9,5
304,311,Tyler Conklin,LAC,TE,12,106.9,5
305,312,Isaac TeSlaa,DET,WR,8,41.5,9
306,313,Tai Felton,MIN,WR,6,3.8,10
307,315,Ray-Ray McCloud,ATL,WR,5,150.6,5
308,316,Jalen Milroe,SEA,QB,8,32.2,5
309,317,Tutu Atwell,LAR,WR,8,122.4,6
310,318,Jordan Whittington,LAR,WR,8,72.1,8
311,320,Arizona Cardinals,ARI,DST,8,108.2,7
